text,label,cleaned_text
"hari ini untuk pertama kali yang dalam hidupku, aku nyobain warout sebelum saur dan aku mau share ke kalian kelebihan, kekurangan, dan kira-kira ini cocoknya buat siapa oke, pertama kelebihan yang aku rasain adalah aku bisa minum pas lagi jeda saat warout jadi hidrasinya tetap terjaga selain itu juga setelah selesai warout, aku bisa langsung isi energi dengan makan saur kelebihan yang aku rasain adalah pas pagi-pagi kayak jam 7 jam 8 jam 9 gitu bodoh aku soger banget ya gak lemes ataupun capek kekurangannya adalah so wajar kali yang antuk siang-siang tuh nah kekurang lainnya adalah waktu waroutnya mepet tadi pagi aku cuma dapet sekitar 40-45 menit buat waroutnya karena abis warout, aku harus masak buat saur oke itu plus dan minus yang aku rasain ya kalau kalian pernah warout sebelum saur, coba komen di bawah kalian sama gak? kelebihan yang kekurangannya nah lanjut, cocoknya buat siapa ini? nah menurutku ini cocoknya buat orang yang waktu sore sampai malamnya itu padet misalkan sore-sore cari takjil atau buka puasa di mesjid abis itu mageri pan di mesjid, terus malamnya abis sola terawet pada rusan sampai malam makanya gak ada waktu buat warout nah kalau misalkan kalian mau nyoba warout ini, aku saranin cobanya pas hari Libur ya ini aku nyobanya di hari minggu BTV tujuannya adalah biar kalian tuh bisa evaluasi badan kalian dulu lah dari pagi sampai sorenya tuh gimana kira-kira cocok atau gak? kalau misalkan respon badan kalian cocok, bagus, landutin tapi kalau misalkan gak cocok, ganti waktu lain aja dah gitu itu si videonya, share kalau bernama faat, stay hard",6,"kali hidupku, nyobain warout saur share kelebihan, kekurangan, kirakira cocoknya oke, kelebihan rasain minum pas jeda warout hidrasinya terjaga selesai warout, langsung isi energi makan saur kelebihan rasain pas pagipagi kayak jam jam jam gitu bodoh soger banget lemes capek kekurangannya wajar kali antuk siangsiang tuh kekurang waroutnya mepet pagi dapet menit waroutnya habis warout, masak saur oke plus minus rasain warout saur, coba komen tidak? kelebihan kekurangannya lanjut, cocoknya ini? menurutku cocoknya orang sore malamnya padet soresore cari takjil buka puasa mesjid habis mageri pan mesjid, malamnya habis sola terawet rusan malam warout nyoba warout ini, saranin cobanya pas libur nyobanya minggu btv tujuannya tuh evaluasi badan pagi sorenya tuh gimana kirakira cocok tidak? respon badan cocok, bagus, landutin cocok, ganti aja dah gitu videonya, share bernama faat, stay hard"
lakuin pemanasan ini biar kaki kalian gak cedera pertama kalian bisa loncat-loncat kecil lalu teku kaki ke depan dan uruskan ke belakang kedua kalian bisa lari-lari kecil dan lari menyamping seperti ini ya lalu putar-putar kaki seperti ini kemudian kalian juga bisa lakukan gerakan sehadaw raket seperti ini gimana? udah siap cobain dilapangan? jangan perfollow ya,4,lakuin pemanasan kaki cedera loncatloncat teku kaki uruskan larilari lari menyamping putarputar kaki lakukan gerakan sehadaw raket gimana? cobain dilapangan? perfollow
apa ini John? Start dari UGM Malioboro Gori Gori Masuk ke Banting Fredeburg depan istana 4 kilo losespeachenee saya Gothic,4,john? start ugm malioboro gori gori masuk banting fredeburg istana kilo losespeachenee gothic
"Let me tell you. I'm a fan of this girl and you know I'm a fan of this girl. If you look at her, you'll find me. I'm a fan of this girl. What's good, good job. You put tonight's guest fiction on my side. No good job. You and I may go good job. I tell you that. Tell you that. You tell me girl. I tell you that. Tell you that. You tell me girl. I'm the one. You know that good thing. So I'll give her what you do. So girl, you look good. I'm a shaman. You go girl. I love you.",4,"let tell you. fan girl know fan girl. look her, youll find me. fan girl. whats good, good job. put tonights guest fiction side. good job. may good job. tell that. tell that. tell girl. tell that. tell that. tell girl. one. know good thing. ill give do. girl, look good. shaman. girl. love you."
"bisa nembak ini, panel saka remotor apa? kayak punya motor kecil ya tapi bukan ini, panel saka remotor yang R25 R25, generasi ketiga jadi sederhana apa? yang kecil banget dimensinya dan tombol domainya juga sedikit ya ini buat PSB, melampu jauh dekat sen dan klakson dan klaksonnya ini agak unik ya karena di posisinya bagian dalamnya jadi kalau belum biasa, klakson itu kayak nyari-nyari gitu mana sih? terus yang di sisi kanan ini juga sederhana aja hanya ada button jingkatok, restartar jadi 1 dan hasil di bagian bawah sederhana badan, gasnya masih mekanis ya jadi masih pakai kabel gas jadi belum terlalu banyak ini benerannya kecil, makanya motornya itu banyak ya belum yang kayak pakai model gas spontan yang bisa gede gitu ya, jadi menter-besar jadi motornya sedikit karena ini jadi banyak banget jadi ya, untuk R1250C punya R25 ini mengtergolong sederhana apa? yang saya pernah saka lalu malah kayak miliknya MT15 terima kasih sudah menonton",6,"nembak ini, panel saka remotor apa? kayak motor ini, panel saka remotor generasi ketiga sederhana apa? banget dimensinya tombol domainya psb, melampu sen klakson klaksonnya unik posisinya dalamnya biasa, klakson kayak nyarinyari gitu sih? sisi kanan sederhana aja button jingkatok, restartar hasil sederhana badan, gasnya mekanis pakai kabel gas benerannya kecil, motornya kayak pakai model gas spontan gede gitu ya, menterbesar motornya banget ya, mengtergolong sederhana apa? saka kayak miliknya terima kasih menonton"
"Hai, gue mau bertanya sesuatu yang sangat penting buat gue Tolong, tolong dengarkan bagian-bagian Gue suka banget baju ini, ya kan Kalau kamu tau, gue suka banget velvet sama satunya Gak tau kenapa, pokoknya baju gue gitu-gitu mu lu biasanya Jangan tanya linknya, kaga ada linknya gue gak beli disini Dan gue udah beli bertonton-tonton yang lalu Jadi gue sangat berharap masih punya ini Dia kayak dres panjang oversize gitu, pokoknya gue suka ini Dan ada hoodie-nya juga, ya sering banget gue pakai Tapi ini kayak makin lama makin mengganggu karena Gue beli ini pas covid, dan gue ga tahu kamu tau Tapi baju gue tuh kayak kebanyakan pas covid kan, kayak Baju yang lo beli tuh datang dengan bahan-tambahan Ya kan, seperti berikutnya nih gitu Kayak beginian ada maskernya, babe Susah juga makanya ya Gitu, begitu kira-kira ya Gue bilang dia baju ninja, ya tau Karena untuk lmasker tambahan aja, ya kan Untuk tidak, kalau kayak begini kayak baik, ya kan Tolong, jemakannya jangan berantakan, ya mama, gitu Repot Ini benar-benar memakai gue Pen gue gunting Tapi apa yang maksud gue, gue benar-benar maksud gue gunting Gue ga akan bawa dia ke Tukang Jaitan, gue mau sebat Pasti gue gunting sendiri, dan gue ga tahu kalau itu akan buat lebih teruk Atau akan seperti... Ah, ga tau gue sebulan pasti, soalnya gue tolong kasih tau nih gue di Umin aja Kayak ya udah pasra aja, selama tidak ada yang tau ya Atau kayak gunting aja, dan aja berguna Itu saja, ga penting gue gue gunting-gunting, karena gue pikir tentang ini selama 3 hari Terima kasih, bye",7,"hai, tolong, tolong dengarkan bagianbagian suka banget baju ini, tahu, suka banget velvet satunya kenapa, pokoknya baju gitugitu linknya, kaga linknya beli beli bertontontonton berharap kayak dres oversize gitu, pokoknya suka hoodienya juga, banget pakai kayak mengganggu beli pas covid, baju tuh kayak kebanyakan pas covid kan, kayak baju beli tuh bahantambahan kan, nih gitu kayak maskernya, babe susah gitu, kirakira bilang baju ninja, lmasker tambahan aja, tidak, kayak kayak baik, tolong, jemakannya berantakan, mama, gitu repot benarbenar memakai pen gunting maksud saya, benarbenar maksud gunting bawa tukang jaitan, sebat gunting sendiri, teruk seperti.. ah, sebulan pasti, tolong kasih nih umin aja kayak pasra aja, kayak gunting aja, aja berguna saja, guntinggunting, pikir terima kasih, bye"
"Pemukaan Pekan Olaraga Provinsi DKI Jakarta dan sekaligus Pekan Olaraga Pelajar DKI Jakarta untuk persiapan Pekan Olaraga Nasional Atlet yang mengikuti 1504 dari 6 Milayah, 5 Kota dan 1 Kabupaten dan saya menaruh harapan yang cukup tinggi agar Pekan Olaraga Pelajar ini berhasil berlangsung secara baik dan menghasilkan atlet-atlet agar siap untuk bertanding di Pekan Olaraga Pelajar Nasional karena bagaimanapun DKI Jakarta selalu menjadi barometer dari persiwa Olaraga dan berbagai persiwa yang lainnya kami mengharapkan agar dinas Olaraga dan juga Kondi Jakarta mempersiapkan betul untuk Pekan Olaraga Pelajar Nasional yang akan diadakan pada bulan November maka dengan memikian hari ini saya sengaja hadir untuk memberikan semangat mudah-mudahan 10 cabang yang dipertandingkan berlangsung dengan baik saya melihat Kondi Jakarta dan juga dinas Olaraga Jakarta sudah berlangsung sangat baik dan yang surpres buat saya pribadi adalah hadir juga ketua umum Kondi Pusat ini menandakan bahwa Jakarta dalam persiapan Olaraga di berbagai event kita akan menyelenggarakan dengan baik dan mudah-mudahan sekali lagi akan menghasilkan atlet-atlet pelajar nasional yang berasa dari Jakarta jadi Bob Nas awalnya akan diadakan di Aceh dan Medan tetapi karena sesuatu dan lain hal akhirnya dibidahkan di Jakarta dan Jakarta siap sanggup untuk melaksanakan itu dan surat keputusan dari Kementerian Olaraga sudah keluar maka nanti pada bulan November kami sudah siap untuk menyelenggarakan",2,"pemukaan pekan olaraga provinsi dki jakarta pekan olaraga pelajar dki jakarta persiapan pekan olaraga nasional atlet mengikuti milayah, kota kabupaten menaruh harapan pekan olaraga pelajar berhasil menghasilkan atletatlet bertanding pekan olaraga pelajar nasional dki jakarta barometer persiwa olaraga persiwa mengharapkan dinas olaraga kondi jakarta pekan olaraga pelajar nasional diadakan november memikian sengaja hadir semangat mudahmudahan cabang dipertandingkan kondi jakarta dinas olaraga jakarta surpres pribadi hadir ketua kondi pusat menandakan jakarta persiapan olaraga event menyelenggarakan mudahmudahan menghasilkan atletatlet pelajar nasional berasa jakarta bob nas diadakan aceh medan dibidahkan jakarta jakarta sanggup melaksanakan surat keputusan kementerian olaraga november menyelenggarakan"
"Did Indonesians just turn the One Piece flag into a symbol of protest against their government? Well, it's August, meaning that it's Independence Month in Indonesia. And as per tradition, usually people would put up the Indonesian flag everywhere. But this year, apparently, some people are not in the mood to raise the Indonesian flag out of disappointment for their government. Instead, they're raising the One Piece Jolly Roger flag, inspired by the trend that's apparently been happening in Indonesian social media. To this, the Coordinating Minister for Political and Security Affairs says that it's provocative and undermines the dignity of the Indonesian flag, and even hinted at possible criminal charges. Other GOLTAR members even said that this can be considered as treason. Funnily, according to several media analysis, this One Piece flag-raising trend started at the end of July as a form of funsies. So there's no political undertone, it's just people like One Piece fans wanting to rep their favorite anime. So what probably happened is that the trend got big. One or two people joined in as a form of political expression. They got interviewed by the media. The story blew up and the government took it seriously, now it blew out of proportion, and the joke is writing itself. But then again, One Piece has always been political, let's be real. It talks a lot about justice and freedom, and the flag actually symbolizes a form of freedom that question the state definition of good and evil. The one piece that One Piece himself frees a lot of islands from Tyrant and can be seen as a symbol of liberation. One Piece does deal with a lot of political subjects such as racism, nationalism, corrupt government, erasers of history, persecution of intellectualism, and I mean, if the shoes fit, let's be real. Fiction has always been used as a form of medium to communicate resistance and protest all around the world. One Piece has been famous as a song to Fee for Fandetta, to the symbol from Hunger Game, and apparently now the One Piece flag. Not only that, fandom has also been playing an active role in movement all around the world, including Indonesia. Indonesia itself is home to a large anime community and fandom, including One Piece obviously, and has already been using anime talk to communicate their frustration towards the government, to talk politics, and basically engage in politics. Some people are communicating and engaging in their country very differently, as culture and communication mesh more and more with pop culture, meme culture, the internet, social media, and fandom world. It's memeable, it's accessible, and it's basically political literacy, just not the type that the older generation is familiar with. Maybe the revolution won't be televised, but it will be tweeted, clipped, streamed, and stitched. The government should understand that demonizing this form of expression will not do anything but amplify it, because you cannot stop culture. Instead of playing defensive, maybe the government should take a long hard look in the mirror on why some people refuse to raise the Indonesian flag during the Independence Day. Because when even the people who produce this I Love Indonesia meme are disillusioned, maybe something is definitely wrong. But honestly, maybe they're just mad because the flag is scary, you know, it's black, it has a skull, so may I suggest a more palatable flag instead?",0,"indonesians turn one piece flag symbol protest government? well, august, meaning independence month indonesia. tradition, usually people would put indonesian flag everywhere. year, apparently, people mood raise indonesian flag disappointment government. instead, theyre raising one piece jolly roger flag, inspired trend thats apparently happening indonesian social media. this, coordinating minister political security affairs says provocative undermines dignity indonesian flag, even hinted possible criminal charges. goltar members even said considered treason. funnily, according several media analysis, one piece flagraising trend started end july form funsies. theres political undertone, people like one piece fans wanting rep favorite anime. probably happened trend got big. one two people joined form political expression. got interviewed media. story blew government took seriously, blew proportion, joke writing itself. again, one piece always political, lets real. talks lot justice freedom, flag actually symbolizes form freedom question state definition good evil. one piece one piece frees lot islands tyrant seen symbol liberation. one piece deal lot political subjects racism, nationalism, corrupt government, erasers history, persecution intellectualism, mean, shoes fit, lets real. fiction always used form medium communicate resistance protest around world. one piece famous song fee fandetta, symbol hunger permainan, apparently one piece flag. that, fandom also playing active role movement around world, including indonesia. indonesia home large anime community fandom, including one piece obviously, already using anime talk communicate frustration towards government, talk politics, basically engage politics. people communicating engaging country differently, culture communication mesh pop culture, meme culture, internet, social media, fandom world. memeable, accessible, basically political literacy, type older generation familiar with. maybe revolution wont televised, tweeted, clipped, streamed, stitched. government understand demonizing form expression anything amplify it, cannot stop culture. instead playing defensive, maybe government take long hard look mirror people refuse raise indonesian flag independence day. even people produce love indonesia meme disillusioned, maybe something definitely wrong. honestly, maybe theyre mad flag scary, know, black, skull, may suggest palatable flag instead?"
"menjemur bayi yang kaya dulu, yang tanpa baju, telanjang gula dan lain-lain itu meningkatkan risiko kanker kulit. Oke. Betul sekali, menjemur bayi tanpa pakaian. Memang bisa meningkatkan risiko. Penyakit seperti pilih hinggakan kanker kulit. Akibat banyaknya mitos. Yang beredar, ikatan dokter Indonesia membagikan cara menjemur bayi yang tepat seperti berikut. Satu, menjemur dalam waktu yang singkat. PDA menyerangkan untuk menjemur. Bayi dibawa sinar matahari selama 10 hingga 15 menit aja waktu menjemur yang terbaik. Dibawah jam 10 pagi dan diatas. Jam 4 sore, karena radiasi sinar yuf, tenderung rendah. Dua, tidak perlu lepas pakaian. Menurut anjuran IDEI, saat dijemur. Bayi boleh pakai baju dan tobia, walaupun menggunakan pakaian. Sinar matahari tetap masuk dan mendapat vitamin D. Tiga, gunakan kaca mata. Sebaik hindari menjemur bayi, langsung dibawah sinar matahari, karena bisa mempengaruhi retina. Matasi kecil loh. Gimana? Sekarang Mums Jati. Tau kan caranya yang benar?",6,"menjemur bayi kaya dulu, baju, telanjang gula lainlain meningkatkan risiko kanker kulit. oke. sekali, menjemur bayi pakaian. meningkatkan risiko. penyakit pilih hinggakan kanker kulit. akibat banyaknya mitos. beredar, ikatan dokter indonesia membagikan menjemur bayi berikut. satu, menjemur singkat. pda menyerangkan menjemur. bayi dibawa sinar matahari menit aja menjemur terbaik. dibawah jam pagi diatas. jam sore, radiasi sinar yuf, tenderung rendah. dua, lepas pakaian. anjuran idei, dijemur. bayi pakai baju tobia, pakaian. sinar matahari masuk vitamin tiga, kaca mata. hindari menjemur bayi, langsung dibawah sinar matahari, mempengaruhi retina. matasi loh. gimana? mums jati. benar?"
"Hai, apakah kalian inget kemarin, gue sempet nanya kalau lo tau produk yang semacam lipgloss atau lipglase yang benar-benar tebel sampai nutup bibir lo yang kayak benar-benar juicy, gloss, basah sampai kayak mirror effect gitu lho tau kan ya kan nah, sepertinya gue menemukan kesukaan gue dan ini produk lokal, parah banget ini dari From This Island, kayanya produk barunya ya ini adalah Plumping Lip Butter kita akan pakai yang Classic Nude tentunya tapi ada 4 warna, jangan khawatir semoga kamu beneran bagus banget, jadi gue udah enggak... oh my god jadi gue udah enggak perlu nyari produk lagi, astaga wanginya enak banget hmm, do you see that? oh my god lah yaudah inilah, inilah yang gue cari produk lokal, bagaimana sih astaga? dia bilang plumping ya, tapi di gue sih tidak ada berasa kayak cekit-cekit atau effect plumping biasanya kan I'm not a big fan of plumping lip gloss or lip product apalagi kayak ginian kan you have to like put tons of layers on them biasanya bukan yang cuma sekali swipe gitu lho jadi kalau plumping tuh biasanya akan sangat makin berasa and I don't like that tapi ini enggak berasa cekit-cekit sama sekali, it's super comfortable kalau memang ada effect plumpingnya juga ya, alhamdulillah, but it's super comfortable and as you can see, I think it covers my lips pretty well gue seneng banget nih parah, apakah kita perlu coba semua warnanya? yaudah deh gue seneng banget, kacau yang ini namanya Sweet Peach udah gitu packagingnya juga kayak gampang banget dipakainya ya kan kalau Aaron tuh gue beli, gue udah bikin videonya kan yang kayak super murah gue beli online macam-macam gitu karena kemarin gue susah banget, lama banget ya kan ngeluarin produknya, drives me crazy tapi ini, hahah, tidak ada masalah alhamdulillah back lah, it's not my favorite color but it's still comfortable dan tidak seorang gonjreng itu gitu masih sangat manusiawi ya kan terus yang ini adalah pink sugar ini kan apa gue jadi bikin swatches ya, padahal tadi gue cuma mau pamer dong karena bagus jadi saya kayak, yaudah gue coba ini semuanya wow, ini juga bukan biasanya color favorit saya tapi masih cakep dipakainya, yang gak sih? dan ini memang gue pakai agak tebel ya, karena gue coba lihat coverage tapi kalau lo pakai agak tipis ya lebih natural lagi keliatannya ini sangat bagus dan yang terakhir adalah cold brew nah, nah, dia wangi nya enak banget, btw, kaya wangi kue gitu nggak ada rasanya ya, seperti biasa apa-apa tuh harus dicoba ya kan tuh, yang ini juga bagus, yang gasing ya jadi begitu lah dari 4 warna ini tentunya ya sudah barang tentu yang paling gue suka adalah, yang nude pokoknya gue suka banget sama dia, ini adalah produk yang udah gue cari bare bulan-bulan par banget tau-tau produk lokal kacau banget ya sih, harganya jauh lebih murah dari yang gue incar ya kan dan karena dia lokal tentunya availability-nya sangat tinggi ada dimana-mana, it's just perfect, you know, I love this",4,"hai, inget kemarin, sempet nanya produk lipgloss lipglase benarbenar tebel nutup bibir kayak benarbenar juicy, gloss, basah kayak mirror effect gitu lho nah, menemukan kesukaan produk lokal, parah banget island, kayanya produk barunya plumping lip butter pakai classic nude warna, khawatir semoga beneran bagus banget, enggak.. god nyari produk lagi, astaga wanginya enak banget hmm, see that? god yaudah inilah, cari produk lokal, sih astaga? bilang plumping ya, sih berasa kayak cekitcekit effect plumping big fan plumping lip gloss lip product kayak ginian like put tons layers swipe gitu lho plumping tuh berasa dont like berasa cekitcekit sekali, super comfortable effect plumpingnya ya, alhamdulillah, super comfortable see, think covers lips pretty well seneng banget nih parah, coba warnanya? yaudah deh seneng banget, kacau namanya sweet peach gitu packagingnya kayak gampang banget dipakainya aaron tuh beli, videonya kayak super murah beli online macammacam gitu kemarin susah banget, banget ngeluarin produknya, drives crazy ini, hahah, alhamdulillah back lah, favorite color still comfortable gonjreng gitu manusiawi pink sugar swatches ya, pamer bagus kayak, yaudah coba wow, color favorit cakep dipakainya, sih? pakai tebel ya, coba lihat coverage pakai tipis natural keliatannya bagus cold brew nah, nah, wangi nya enak banget, btw, kaya wangi kue gitu ya, apaapa tuh dicoba tuh, bagus, gasing warna barang suka adalah, nude pokoknya suka banget dia, produk cari bare bulanbulan par banget tahutahu produk lokal kacau banget sih, harganya murah incar lokal availabilitynya dimanamana, perfect, know, love"
